2020-06-29 08:31:56.213121
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
--------------------
el:rmse   mean=2.837669849395752 std=2.724897623062134
el:nrmse  mean=15.82147950656506 std=12.390760875035303
el:r2     mean=-3561.2298016703035 std=4469.243624637395
el:adj-r2 mean=5528.975420550177 std=6849.70104450369


2020-06-30 01:44:25.999551
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=46.5141716003418 std=17.709266662597656
ys:nrmse  mean=0.1709595872666539 std=0.0662879327616308
ys:r2     mean=-7.938349061633453 std=10.653355973466269
ys:adj-r2 mean=15.283030570470123 std=16.860487243387162
--------------------
el:rmse   mean=0.04591979831457138 std=0.026464227586984634
el:nrmse  mean=0.3160690573353953 std=0.29951449793051144
el:r2     mean=0.11870367129354017 std=0.8647005799695925
el:adj-r2 mean=2.412059010750812 std=1.4413157475223533


2020-06-30 05:11:05.006217
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=75.9356918334961 std=25.441123962402344
ys:nrmse  mean=0.2967492463488914 std=0.1473240019905574
ys:r2     mean=-14.128630684765517 std=11.68293916564499
ys:adj-r2 mean=24.748374893123835 std=17.860683477702658
--------------------
el:rmse   mean=0.0701957494020462 std=0.04413483664393425
el:nrmse  mean=0.5299419450480907 std=0.5313257475626478
el:r2     mean=-1.5687862506404666 std=3.2756650826239757
el:adj-r2 mean=4.967969203464358 std=5.01368119203508


2020-06-30 08:37:29.758492
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=124.88260650634766 std=44.022212982177734
ys:nrmse  mean=0.4602748158258206 std=0.13952490109208085
ys:r2     mean=-81.48235907241111 std=122.03231653313105
ys:adj-r2 mean=128.33572786340363 std=186.68669407558016
--------------------
el:rmse   mean=0.12416453659534454 std=0.041402701288461685
el:nrmse  mean=0.9475917172979367 std=0.9614193042363568
el:r2     mean=-11.985169359425717 std=27.489631612643922
el:adj-r2 mean=21.07725002273647 std=42.114626041053114


2020-06-30 12:04:35.561182
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=194.41311645507812 std=51.21349334716797
ys:nrmse  mean=0.703151268837691 std=0.12191727898801331
ys:r2     mean=-190.37095561010682 std=219.1615600569224
ys:adj-r2 mean=306.10911505308854 std=353.71240663313944
--------------------
el:rmse   mean=0.13076697289943695 std=0.05384582281112671
el:nrmse  mean=0.9375565046959012 std=0.7661179575985891
el:r2     mean=-8.054898981230274 std=14.262704729341717
el:adj-r2 mean=14.994404921303289 std=21.832867312136887


2020-06-30 15:29:51.176886
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=265.92047119140625 std=42.92024230957031
ys:nrmse  mean=0.9722491301967722 std=0.02938981041842543
ys:r2     mean=-303.1374295496028 std=329.04965730980837
ys:adj-r2 mean=483.8198073266052 std=522.3960637597714
--------------------
el:rmse   mean=2.849745988845825 std=2.837785243988037
el:nrmse  mean=22.508142876798793 std=26.25831074828243
el:r2     mean=-5857.554286201598 std=12557.394859243886
el:adj-r2 mean=8990.556795789415 std=19251.75060826099


2020-06-30 18:56:33.837958
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=39.29478454589844 std=17.751495361328125
ys:nrmse  mean=0.1442118937455098 std=0.06342807343893286
ys:r2     mean=-3.9144075487740126 std=4.982205261061642
ys:adj-r2 mean=8.77911328228105 std=7.70899476154257
--------------------
el:rmse   mean=0.02857605181634426 std=0.009019198827445507
el:nrmse  mean=0.184657007057063 std=0.13073834832953105
el:r2     mean=0.7278796041784994 std=0.20688257353195794
el:adj-r2 mean=1.4288294754707445 std=0.32386592240581547


2020-06-30 22:23:33.424778
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=47.07976531982422 std=19.52104949951172
ys:nrmse  mean=0.16895156177576928 std=0.05585479399143721
ys:r2     mean=-13.62033556304893 std=19.785658688435465
ys:adj-r2 mean=24.39012073281758 std=32.195861846064226
--------------------
el:rmse   mean=0.03585372120141983 std=0.01519796997308731
el:nrmse  mean=0.22645582444723403 std=0.15173856250126502
el:r2     mean=0.6579894133060558 std=0.1685943571301188
el:adj-r2 mean=1.5420120389026355 std=0.27276169073755646


2020-07-01 01:49:12.344412
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=72.70645904541016 std=26.889202117919922
ys:nrmse  mean=0.2663597695346864 std=0.08462304412468434
ys:r2     mean=-34.285116559137705 std=51.5141595578767
ys:adj-r2 mean=56.64858346119254 std=80.37735363331107
--------------------
el:rmse   mean=0.03554747998714447 std=0.018450284376740456
el:nrmse  mean=0.3100586942444358 std=0.3804674738013362
el:r2     mean=0.08029145118765699 std=1.6685603835072966
el:adj-r2 mean=2.4193986455733794 std=2.5548932138044904


2020-07-01 05:15:14.452296
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=117.8084945678711 std=20.892440795898438
ys:nrmse  mean=0.4438291442140903 std=0.11900008018389721
ys:r2     mean=-50.44198805432613 std=54.05702817886578
ys:adj-r2 mean=82.42037941533799 std=83.9827341466977
--------------------
el:rmse   mean=0.10327742248773575 std=0.0368197038769722
el:nrmse  mean=0.8292241288098776 std=0.8879157295641528
el:r2     mean=-7.766697779887515 std=18.756112842529465
el:adj-r2 mean=14.567664604196537 std=28.727302753305512


2020-07-01 08:43:14.946180
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=321.98211669921875 std=389.55609130859375
ys:nrmse  mean=1.1571220366279156 std=1.3593833578898151
ys:r2     mean=-301.5107776010078 std=372.45008395934235
ys:adj-r2 mean=498.6791730803896 std=634.8487374752688
--------------------
el:rmse   mean=0.11950159072875977 std=0.045036572962999344
el:nrmse  mean=0.9510514922742115 std=1.0001568266126457
el:r2     mean=-9.059531712175154 std=21.143841981300493
el:adj-r2 mean=16.58061213515665 std=32.3894124282827


2020-07-01 12:09:40.742466
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=29.085153579711914 std=10.032086372375488
ys:nrmse  mean=0.10745057684883 std=0.03439298945855226
ys:r2     mean=-2.9391375813850873 std=5.027035758076734
ys:adj-r2 mean=7.356853316056958 std=8.41921856354612
--------------------
el:rmse   mean=0.027621839195489883 std=0.012609072960913181
el:nrmse  mean=0.19670715486366627 std=0.149474601996714
el:r2     mean=0.5531925018626338 std=0.5303701195075665
el:adj-r2 mean=1.6923606975597534 std=0.8122078319580819


2020-07-01 15:34:58.502343
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=35.91450500488281 std=19.134532928466797
ys:nrmse  mean=0.1407058830453152 std=0.08403765389327808
ys:r2     mean=-1.5832403717666002 std=2.0725598818100033
ys:adj-r2 mean=5.110791188377767 std=3.4147826706595374
--------------------
el:rmse   mean=0.029306119307875633 std=0.00989613402634859
el:nrmse  mean=0.23238863565899476 std=0.23114580572521165
el:r2     mean=0.3599801639102852 std=1.250898856398965
el:adj-r2 mean=1.9870472432278175 std=1.9157204066304057


2020-07-01 19:02:24.548220
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=67.3857421875 std=28.122634887695312
ys:nrmse  mean=0.24036559476667527 std=0.08522924658184096
ys:r2     mean=-21.861620722145293 std=26.903624663264544
ys:adj-r2 mean=37.20973332539902 std=41.90419822595502
--------------------
el:rmse   mean=0.05435947701334953 std=0.019548384472727776
el:nrmse  mean=0.321180214213507 std=0.16598890950586095
el:r2     mean=-0.18571915748647463 std=1.264611522072028
el:adj-r2 mean=2.8474057751151527 std=1.93675459329378


2020-07-01 22:28:19.784247
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=113.735595703125 std=48.020668029785156
ys:nrmse  mean=0.42705187942221945 std=0.2044772162666705
ys:r2     mean=-60.59029334003431 std=84.0764390145107
ys:adj-r2 mean=97.12730079270669 std=129.13011538928728
--------------------
el:rmse   mean=0.1150231808423996 std=0.03801630437374115
el:nrmse  mean=0.8488989412780175 std=0.8013456766962987
el:r2     mean=-6.66974325462849 std=13.05691625008933
el:adj-r2 mean=12.909247181883151 std=20.00021214469136


2020-07-02 01:54:32.432180
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=205.5498504638672 std=39.754554748535156
ys:nrmse  mean=0.7643095755203301 std=0.14969278044505016
ys:r2     mean=-182.98490275358512 std=217.27473985035354
ys:adj-r2 mean=289.1279835093885 std=333.9048546748024
--------------------
el:rmse   mean=0.11486838012933731 std=0.042410220950841904
el:nrmse  mean=0.9280989016903233 std=0.9989383235368774
el:r2     mean=-8.38097173032816 std=20.22682186426731
el:adj-r2 mean=15.47465922216286 std=30.983657348954438


2020-07-02 05:21:46.469596
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=33.613304138183594 std=11.889302253723145
ys:nrmse  mean=0.1263514243474056 std=0.046615145408119806
ys:r2     mean=-3.757297467293862 std=4.406521407719624
ys:adj-r2 mean=8.518093941828981 std=6.810773130770643
--------------------
el:rmse   mean=0.029830509796738625 std=0.011481675319373608
el:nrmse  mean=0.19643243925646048 std=0.15717918943081785
el:r2     mean=0.4072653974773712 std=1.016466883341731
el:adj-r2 mean=1.9265872210548156 std=1.5575422602833005


2020-07-02 08:49:05.616612
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=39.889888763427734 std=15.280123710632324
ys:nrmse  mean=0.14483755288031674 std=0.045131047728728016
ys:r2     mean=-7.541415145799644 std=14.809408739317458
ys:adj-r2 mean=14.489181270941444 std=22.897460385156297
--------------------
el:rmse   mean=0.0317985936999321 std=0.018254347145557404
el:nrmse  mean=0.23420108374804838 std=0.1979385584301073
el:r2     mean=0.11605964411548424 std=1.4367718749314817
el:adj-r2 mean=2.3651505350417428 std=2.199269406299894


2020-07-02 12:11:10.737983
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=50.904144287109375 std=13.449734687805176
ys:nrmse  mean=0.1935929263666427 std=0.06748989514710128
ys:r2     mean=-11.338628420394594 std=17.84015714882579
ys:adj-r2 mean=20.485098700059773 std=27.80597419288315
--------------------
el:rmse   mean=0.03916435316205025 std=0.024391815066337585
el:nrmse  mean=0.23897470026101514 std=0.197740453070195
el:r2     mean=0.5824751789671189 std=0.44904939608700506
el:adj-r2 mean=1.67837380894481 std=0.7288110183694055


2020-07-02 15:36:03.514157
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=96.02305603027344 std=28.87169647216797
ys:nrmse  mean=0.3495153219526877 std=0.08892368391972871
ys:r2     mean=-37.74796695449175 std=54.086492351231215
ys:adj-r2 mean=62.070849313516035 std=83.06136786769589
--------------------
el:rmse   mean=0.07463300973176956 std=0.03359319642186165
el:nrmse  mean=0.6061480129384551 std=0.6525699931266006
el:r2     mean=-3.084898683338098 std=8.624395755829125
el:adj-r2 mean=7.282464344649671 std=13.215910330948752


2020-07-02 19:02:57.724099
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=136.02110290527344 std=48.568145751953125
ys:nrmse  mean=0.5262143165021769 std=0.2591225974017002
ys:r2     mean=-38.15105178379403 std=28.207482478056328
ys:adj-r2 mean=62.26353290969653 std=42.62944149981897
--------------------
el:rmse   mean=0.11968928575515747 std=0.04616687819361687
el:nrmse  mean=0.9219786049920462 std=0.921928198753487
el:r2     mean=-8.20051323882414 std=18.983964104879565
el:adj-r2 mean=15.257443805355098 std=29.065477153357484


2020-07-02 22:29:11.199369
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=30.431726455688477 std=11.89045524597168
ys:nrmse  mean=0.11738764148259191 std=0.06090759480882637
ys:r2     mean=-2.502127175900738 std=4.540296552274135
ys:adj-r2 mean=6.421364058693404 std=6.940508333603843
--------------------
el:rmse   mean=0.029616499319672585 std=0.013217514380812645
el:nrmse  mean=0.17991481697039208 std=0.09529460043239718
el:r2     mean=0.5650067052954659 std=0.4256864435252568
el:adj-r2 mean=1.6776761939367426 std=0.6505659853716985


2020-07-03 01:55:21.706594
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=51.09610366821289 std=17.064687728881836
ys:nrmse  mean=0.1916611860349461 std=0.0703451303796594
ys:r2     mean=-14.114741505299623 std=23.14163371629378
ys:adj-r2 mean=24.76426294791835 std=35.774898693101704
--------------------
el:rmse   mean=0.03258592635393143 std=0.008834636770188808
el:nrmse  mean=0.23833857494663632 std=0.20505112986893068
el:r2     mean=0.5114684286299251 std=0.5417105653720874
el:adj-r2 mean=1.7610702423797562 std=0.8294895877172234


2020-07-03 05:21:00.673575
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=52.43854522705078 std=17.159854888916016
ys:nrmse  mean=0.19283879134696016 std=0.05385153763218266
ys:r2     mean=-13.447736943024818 std=24.619012627309367
ys:adj-r2 mean=23.462381935783693 std=37.68391488222731
--------------------
el:rmse   mean=0.033137835562229156 std=0.022067727521061897
el:nrmse  mean=0.17794375488433728 std=0.09532800604432107
el:r2     mean=0.6716776724836613 std=0.39030178439767194
el:adj-r2 mean=1.5355992002404608 std=0.6731804469531872


2020-07-03 08:47:20.396638
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=90.19352722167969 std=42.92009735107422
ys:nrmse  mean=0.3318533780942794 std=0.16319770556165655
ys:r2     mean=-48.128258910416115 std=77.59785275849737
ys:adj-r2 mean=77.93723808169116 std=119.77721488235345
--------------------
el:rmse   mean=0.08306583762168884 std=0.03404366970062256
el:nrmse  mean=0.6292459350366442 std=0.6125377872933074
el:r2     mean=-3.072129554934726 std=7.119023360576565
el:adj-r2 mean=7.368472465252461 std=10.905495664800647


2020-07-03 12:06:23.447118
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=136.9355010986328 std=48.595680236816406
ys:nrmse  mean=0.5075780092243882 std=0.1695089702932333
ys:r2     mean=-105.89956746930447 std=164.85200708441855
ys:adj-r2 mean=167.5758321517347 std=252.45710651907177
--------------------
el:rmse   mean=0.13268712162971497 std=0.0773308277130127
el:nrmse  mean=1.056596021113044 std=1.1208841544621537
el:r2     mean=-8.820257614370064 std=18.81851555919722
el:adj-r2 mean=16.164113926921857 std=28.82134859645136


2020-07-03 15:29:00.226320
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=30.34225082397461 std=8.637550354003906
ys:nrmse  mean=0.11330516902613645 std=0.03600114390070025
ys:r2     mean=-2.3386328280543203 std=3.4987041914941295
ys:adj-r2 mean=6.336231704501141 std=5.629592930119762
--------------------
el:rmse   mean=0.033512722700834274 std=0.01787724904716015
el:nrmse  mean=0.20426085632278954 std=0.11347700545942767
el:r2     mean=0.2781470856298506 std=1.0135236871626523
el:adj-r2 mean=2.110327473477925 std=1.5518908691174929


2020-07-03 18:56:20.570554
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=29.124500274658203 std=10.934144973754883
ys:nrmse  mean=0.11177076037089881 std=0.04825778121383985
ys:r2     mean=-1.2737813376055962 std=2.1478345392070537
ys:adj-r2 mean=4.581814300246994 std=3.339201503271991
--------------------
el:rmse   mean=0.031105250120162964 std=0.008907417766749859
el:nrmse  mean=0.20877984678080247 std=0.14671013642984704
el:r2     mean=0.4925199173599014 std=0.6863157337764486
el:adj-r2 mean=1.7913960061831933 std=1.0492262954493308


