2020-06-06 12:51:17.797998
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
el:nrmse  mean=0.07883335587513428 std=0.04088547166121578
el:r2     mean=0.9703485140264071 std=0.02715566788706212
el:adj-r2 mean=1.0355335499327882 std=0.03369229385743209


2020-06-07 05:54:18.002606
Learning rate: 0.003, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=13.3219633102417 std=6.6950507164001465
ys:nrmse  mean=0.052451353905320706 std=0.030767519075462258
ys:r2     mean=0.8694441993139284 std=0.05324298198495072
ys:adj-r2 mean=1.1522081680977654 std=0.055196796674449614
--------------------
el:rmse   mean=0.012096593156456947 std=0.002370703499764204
el:nrmse  mean=0.07266462103372366 std=0.03640544253586645
el:r2     mean=0.9808686372626478 std=0.009891671186846775
el:adj-r2 mean=1.0229712390521382 std=0.012616471649832147


2020-06-07 07:37:00.318225
Learning rate: 0.003, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=15.44940185546875 std=6.316131114959717
ys:nrmse  mean=0.0586110781559098 std=0.025258002371313124
ys:r2     mean=0.7278152788463996 std=0.21499190313210198
ys:adj-r2 mean=1.3307498926083379 std=0.269535174675683
--------------------
el:rmse   mean=0.014597957953810692 std=0.0028722286224365234
el:nrmse  mean=0.08247488293064927 std=0.0299168912157209
el:r2     mean=0.963987402308341 std=0.03708279632823061
el:adj-r2 mean=1.0438427056126038 std=0.0462112825861667


2020-06-07 08:48:52.432200
Learning rate: 0.005, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=11.564519882202148 std=6.656773090362549
ys:nrmse  mean=0.04514527713771031 std=0.02914219988291696
ys:r2     mean=0.8703246512856915 std=0.08494132954817926
ys:adj-r2 mean=1.1541258773334175 std=0.10069954272545256
--------------------
el:rmse   mean=0.014402342960238457 std=0.0045465026050806046
el:nrmse  mean=0.08469713652832292 std=0.04776277719114132
el:r2     mean=0.9682629232040962 std=0.02556102244421242
el:adj-r2 mean=1.0386991823734628 std=0.03200488779784012


2020-06-07 10:04:47.679818
Learning rate: 0.005, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=10.496064186096191 std=3.2584316730499268
ys:nrmse  mean=0.04039509953985167 std=0.015782586454048595
ys:r2     mean=0.898406520636779 std=0.04199531590001618
ys:adj-r2 mean=1.1200079854409277 std=0.049689141456706484
--------------------
el:rmse   mean=0.01611313968896866 std=0.004187248181551695
el:nrmse  mean=0.09357808192278234 std=0.043452107084125086
el:r2     mean=0.9593793371096769 std=0.03551698555670235
el:adj-r2 mean=1.0488349670530837 std=0.044413290713011234


2020-06-07 11:29:42.216776
Learning rate: 0.005, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=12.201716423034668 std=4.310120105743408
ys:nrmse  mean=0.04548809829110836 std=0.01618264261520085
ys:r2     mean=0.6968107498964171 std=0.3851022615926693
ys:adj-r2 mean=1.372228703546267 std=0.4772381626425746
--------------------
el:rmse   mean=0.016803527250885963 std=0.0058034188114106655
el:nrmse  mean=0.10106060868635611 std=0.05950082965217274
el:r2     mean=0.9539019063376966 std=0.04217555599001326
el:adj-r2 mean=1.0559110892592842 std=0.05267794216959899


2020-06-07 12:38:33.545690
Learning rate: 0.01, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=21.481830596923828 std=7.775164604187012
ys:nrmse  mean=0.0829352464853106 std=0.03859081438844046
ys:r2     mean=0.41059368111325806 std=0.612079010217092
ys:adj-r2 mean=1.709508595800412 std=0.7618053307773393
--------------------
el:rmse   mean=0.029053157195448875 std=0.0140905249863863
el:nrmse  mean=0.18968168635173682 std=0.142798289939486
el:r2     mean=0.8765277699995047 std=0.08394192638514272
el:adj-r2 mean=1.1480172081202213 std=0.10214393541065156


2020-06-07 13:55:02.104381
Learning rate: 0.01, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=19.38875961303711 std=3.971403121948242
ys:nrmse  mean=0.07183938843554835 std=0.014796353408628693
ys:r2     mean=0.3112328671263024 std=0.7499929873998855
ys:adj-r2 mean=1.830096566992701 std=0.9268462332782806
--------------------
el:rmse   mean=0.24775250256061554 std=0.36581501364707947
el:nrmse  mean=1.9178307306644586 std=3.1176728600362127
el:r2     mean=-16.512381590674767 std=33.95249719756504
el:adj-r2 mean=20.497802921276683 std=37.70557515234239


2020-06-07 15:17:40.326496
Learning rate: 0.01, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=12.199666976928711 std=4.51186990737915
ys:nrmse  mean=0.04724867972354389 std=0.022030687854005776
ys:r2     mean=0.8516309215121904 std=0.08554995770425414
ys:adj-r2 mean=1.1762267991910724 std=0.10621238989605182
--------------------
el:rmse   mean=0.3733377754688263 std=0.3729584813117981
el:nrmse  mean=2.1286376927591335 std=2.4111204410974607
el:r2     mean=-56.03606308157574 std=88.37361266292895
el:adj-r2 mean=70.07073516361757 std=109.24450629565294


2020-06-07 16:22:02.519385
Learning rate: 0.0001, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=14.433199882507324 std=10.374011993408203
ys:nrmse  mean=0.05319379919278387 std=0.03611096434744648
ys:r2     mean=0.6695468476661597 std=0.41301565440901356
ys:adj-r2 mean=1.4037612176188758 std=0.5124404619042103
--------------------
el:rmse   mean=0.014365588314831257 std=0.003812855575233698
el:nrmse  mean=0.08851014349787092 std=0.04877897988221692
el:r2     mean=0.9751091726528633 std=0.009258795503498696
el:adj-r2 mean=1.0299332031215933 std=0.012092703923160735


2020-06-07 17:41:25.074728
Learning rate: 0.0001, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=16.51980972290039 std=12.896828651428223
ys:nrmse  mean=0.06063228033357624 std=0.0449528116643187
ys:r2     mean=0.5201412314871694 std=0.6124976829730557
ys:adj-r2 mean=1.588471588450405 std=0.75915695781694
--------------------
el:rmse   mean=0.015117083676159382 std=0.0036082968581467867
el:nrmse  mean=0.0930121828034349 std=0.05059048924686311
el:r2     mean=0.9716742390243732 std=0.010930004707251214
el:adj-r2 mean=1.0340259216146857 std=0.0140802323772454


2020-06-07 19:14:45.895624
Learning rate: 0.0001, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=14.54737663269043 std=12.348323822021484
ys:nrmse  mean=0.05321134005639659 std=0.04301933531595072
ys:r2     mean=0.5883373351561672 std=0.5384836586104168
ys:adj-r2 mean=1.5060922983597134 std=0.6667827562927022
--------------------
el:rmse   mean=0.014941337518393993 std=0.0036373829934746027
el:nrmse  mean=0.09178025049945443 std=0.05000446902595012
el:r2     mean=0.9722591352257194 std=0.011125550447203147
el:adj-r2 mean=1.0333643224653726 std=0.014376456902982076


2020-06-07 20:20:52.097682
Learning rate: 0.0003, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=14.169782638549805 std=7.028479099273682
ys:nrmse  mean=0.053700895473777446 std=0.026492307470007352
ys:r2     mean=0.7711997892353228 std=0.22065893830727137
ys:adj-r2 mean=1.278327121279577 std=0.2753587525246219
--------------------
el:rmse   mean=0.014332883059978485 std=0.004177269525825977
el:nrmse  mean=0.08938049309650814 std=0.05150603294063014
el:r2     mean=0.9754999817930182 std=0.009411611706444098
el:adj-r2 mean=1.0294023404578354 std=0.012101612480515713


2020-06-07 21:33:05.477634
Learning rate: 0.0003, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=10.13676929473877 std=3.974409341812134
ys:nrmse  mean=0.03932946757242487 std=0.018454702658486193
ys:r2     mean=0.9097423051864475 std=0.04160841687248157
ys:adj-r2 mean=1.108158403359931 std=0.05312202927107222
--------------------
el:rmse   mean=0.014560739509761333 std=0.0035857618786394596
el:nrmse  mean=0.08988019499229291 std=0.04927560519364163
el:r2     mean=0.9741588794904926 std=0.00920606195996847
el:adj-r2 mean=1.0310074727906127 std=0.011896924635160218


2020-06-07 22:54:42.035270
Learning rate: 0.0003, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=15.954713821411133 std=11.07792854309082
ys:nrmse  mean=0.06396642321580112 std=0.049799961755374086
ys:r2     mean=0.8402648902955496 std=0.06452699071317948
ys:adj-r2 mean=1.1904880891048255 std=0.07997409850423272
--------------------
el:rmse   mean=0.015226887539029121 std=0.004102730192244053
el:nrmse  mean=0.09491265109564251 std=0.05361096234603682
el:r2     mean=0.9725022172240274 std=0.008977914510789062
el:adj-r2 mean=1.0328892380471577 std=0.011413743563424646


2020-06-08 00:03:27.594049
Learning rate: 0.0005, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=8.985010147094727 std=3.8036317825317383
ys:nrmse  mean=0.03469614887177015 std=0.017745270265423843
ys:r2     mean=0.9181211462502563 std=0.04281552141680746
ys:adj-r2 mean=1.0966715237996416 std=0.05194398063812356
--------------------
el:rmse   mean=0.014744517393410206 std=0.00478775380179286
el:nrmse  mean=0.09351333434454569 std=0.057886519991550985
el:r2     mean=0.9741129604041554 std=0.011122129423179966
el:adj-r2 mean=1.0308952197600694 std=0.013776615176104203


2020-06-08 01:15:01.831965
Learning rate: 0.0005, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=11.814363479614258 std=9.777660369873047
ys:nrmse  mean=0.04678682869196625 std=0.04276991607546179
ys:r2     mean=0.8674252573152096 std=0.14114728229212387
ys:adj-r2 mean=1.1513038864252392 std=0.15515016256580794
--------------------
el:rmse   mean=0.01484611351042986 std=0.0037838483694940805
el:nrmse  mean=0.09134835974416736 std=0.05049174059626458
el:r2     mean=0.9730751128466213 std=0.01056959574922256
el:adj-r2 mean=1.0323492992463037 std=0.01372373134694248


2020-06-08 02:36:37.394239
Learning rate: 0.0005, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=11.012828826904297 std=5.2972517013549805
ys:nrmse  mean=0.042930477016905416 std=0.023728729163642263
ys:r2     mean=0.9030651861656006 std=0.047150054541081746
ys:adj-r2 mean=1.1128920611801048 std=0.0521024980685599
--------------------
el:rmse   mean=0.014652557671070099 std=0.004080045968294144
el:nrmse  mean=0.0908075895530979 std=0.050700443953766085
el:r2     mean=0.9742674435016312 std=0.009332983460302275
el:adj-r2 mean=1.030923683877584 std=0.012111684166342777


2020-06-08 03:35:30.137557
Learning rate: 0.001, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=11.423523902893066 std=5.528032302856445
ys:nrmse  mean=0.04477527158917714 std=0.025331794001035787
ys:r2     mean=0.9086939779766073 std=0.0173023751228768
ys:adj-r2 mean=1.1082363234347887 std=0.021569839772943807
--------------------
el:rmse   mean=0.015643466264009476 std=0.0030342829413712025
el:nrmse  mean=0.09482385873088185 std=0.047305084287855875
el:r2     mean=0.9705977299248284 std=0.008586368918836431
el:adj-r2 mean=1.0351532252593947 std=0.011433327833712195


2020-06-08 04:47:18.952665
Learning rate: 0.001, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=12.459025382995605 std=5.69398832321167
ys:nrmse  mean=0.04886661835728772 std=0.02662152475596655
ys:r2     mean=0.881839757683774 std=0.03616145729359508
ys:adj-r2 mean=1.1381823756443714 std=0.03665410975997495
--------------------
el:rmse   mean=0.015235453844070435 std=0.0034878093283623457
el:nrmse  mean=0.09213507586175448 std=0.046765970266668136
el:r2     mean=0.9720522389093575 std=0.009344153768582344
el:adj-r2 mean=1.033616641819646 std=0.012489758633676717


2020-06-08 06:10:06.367273
Learning rate: 0.001, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=14.215646743774414 std=7.796377182006836
ys:nrmse  mean=0.0562997506968953 std=0.035789869379205363
ys:r2     mean=0.8520137389014542 std=0.06975300929646518
ys:adj-r2 mean=1.1727238224071193 std=0.07404887895134281
--------------------
el:rmse   mean=0.013940313830971718 std=0.0036046691238880157
el:nrmse  mean=0.0863115557409474 std=0.04680593114494344
el:r2     mean=0.9768900870509359 std=0.006893355615353726
el:adj-r2 mean=1.027640938281925 std=0.008698973523646488


2020-06-08 07:11:33.992354
Learning rate: 0.003, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=13.778532028198242 std=4.537126064300537
ys:nrmse  mean=0.052911441280602066 std=0.021318657039445185
ys:r2     mean=0.8181260726137989 std=0.07587530661659704
ys:adj-r2 mean=1.2141847440730875 std=0.0895046416303161
--------------------
el:rmse   mean=0.01411723904311657 std=0.0027029349002987146
el:nrmse  mean=0.08237433292034978 std=0.03756896623378068
el:r2     mean=0.9711293747429316 std=0.021376806953576064
el:adj-r2 mean=1.034954884000074 std=0.026900162090267816


2020-06-08 08:22:28.641482
Learning rate: 0.003, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=11.884944915771484 std=4.984106540679932
ys:nrmse  mean=0.04635903799886189 std=0.02352391846832782
ys:r2     mean=0.8843117962113155 std=0.038214624915441406
ys:adj-r2 mean=1.1356271621705525 std=0.04177532548545367
--------------------
el:rmse   mean=0.01633436605334282 std=0.0040024700574576855
el:nrmse  mean=0.10036210832749667 std=0.05163368603650218
el:r2     mean=0.9693964813660821 std=0.007076217130854395
el:adj-r2 mean=1.0365379981489435 std=0.009474236783673484


2020-06-08 09:48:46.647312
Learning rate: 0.003, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=11.024526596069336 std=5.254211902618408
ys:nrmse  mean=0.04263285861755419 std=0.023233365754692623
ys:r2     mean=0.8916327823408603 std=0.056030048357486525
ys:adj-r2 mean=1.1255952876433155 std=0.0608702051798681
--------------------
el:rmse   mean=0.015268499031662941 std=0.0028954949229955673
el:nrmse  mean=0.08925994146543183 std=0.04033097428696144
el:r2     mean=0.969452658723349 std=0.015640022538784493
el:adj-r2 mean=1.0367818243183 std=0.01997618139778005


2020-06-08 10:50:01.164031
Learning rate: 0.005, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=18.58254623413086 std=13.61176872253418
ys:nrmse  mean=0.07021791793554107 std=0.048581229051242736
ys:r2     mean=0.562010825531188 std=0.6562246235999056
ys:adj-r2 mean=1.5328583888771141 std=0.814092869495179
--------------------
el:rmse   mean=0.04389933869242668 std=0.04510534554719925
el:nrmse  mean=0.2865592327586023 std=0.37156293805431806
el:r2     mean=0.6027412574971545 std=0.6055311183147171
el:adj-r2 mean=1.4880927181222792 std=0.7493966388979254


2020-06-08 11:59:58.465270
Learning rate: 0.005, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=12.298067092895508 std=5.035732269287109
ys:nrmse  mean=0.04778398532155827 std=0.02380753379244297
ys:r2     mean=0.8639196147502805 std=0.058345991202972014
ys:adj-r2 mean=1.1609436591260656 std=0.07065494056861595
--------------------
el:rmse   mean=0.017621371895074844 std=0.004856766201555729
el:nrmse  mean=0.10923599500747735 std=0.061309661395801705
el:r2     mean=0.9631318532823221 std=0.013340957530744676
el:adj-r2 mean=1.0442396597301014 std=0.01735025832003565


2020-06-08 13:26:33.454290
Learning rate: 0.005, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=9.800296783447266 std=4.276181221008301
ys:nrmse  mean=0.03811421967139384 std=0.019989094695158024
ys:r2     mean=0.921696736572774 std=0.028859059175692692
ys:adj-r2 mean=1.092546179002077 std=0.0328015021735402
--------------------
el:rmse   mean=0.037787336856126785 std=0.03112843632698059
el:nrmse  mean=0.2154453192919167 std=0.16385840045329914
el:r2     mean=0.7384497639472797 std=0.37979801318820827
el:adj-r2 mean=1.321814916110081 std=0.46995682628679636


2020-06-08 14:31:05.117170
Learning rate: 0.01, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=16.308488845825195 std=7.591914653778076
ys:nrmse  mean=0.06340968522857787 std=0.03573356777222612
ys:r2     mean=0.5747345535801582 std=0.5936358452837582
ys:adj-r2 mean=1.5197789960934571 std=0.7361103428810234
--------------------
el:rmse   mean=0.2470996379852295 std=0.21377608180046082
el:nrmse  mean=1.5988746369785096 std=1.7968218076544689
el:r2     mean=-9.71038249340363 std=14.92274257189704
el:adj-r2 mean=14.180969126453183 std=18.46615867671278


2020-06-08 15:49:33.712541
Learning rate: 0.01, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=13.770559310913086 std=6.691789627075195
ys:nrmse  mean=0.05286855144653455 std=0.02872564392547036
ys:r2     mean=0.8061465206234907 std=0.1328096303350396
ys:adj-r2 mean=1.2229881121839319 std=0.14446048635870448
--------------------
el:rmse   mean=2.5798726081848145 std=3.50357985496521
el:nrmse  mean=12.175835572307655 std=14.794876990653728
el:r2     mean=-1806.3501137478956 std=3286.2507254985176
el:adj-r2 mean=2024.132967298086 std=3645.4274822357306


2020-06-08 17:10:47.980911
Learning rate: 0.01, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=9.962465286254883 std=4.433533191680908
ys:nrmse  mean=0.03891243880946231 std=0.0201501780257582
ys:r2     mean=0.9257741951760707 std=0.029958597216883848
ys:adj-r2 mean=1.086519022081555 std=0.032027845352420016
--------------------
el:rmse   mean=1.798111915588379 std=0.41735216975212097
el:nrmse  mean=9.662841832142174 std=2.0674594313953873
el:r2     mean=-467.65964793669764 std=311.00451699713693
el:adj-r2 mean=565.4261870199383 std=387.80110656241067


2020-06-08 18:11:15.168983
Learning rate: 0.0001, Weight decay: 0.0005, LR adjust start: 20000
Overall Results
ys:rmse   mean=11.746302604675293 std=6.095293998718262
ys:nrmse  mean=0.04434668670534142 std=0.022936797465532413
ys:r2     mean=0.8406928801016642 std=0.15523502734373332
ys:adj-r2 mean=1.1938258256942462 std=0.1934216360993406
--------------------
el:rmse   mean=0.016305256634950638 std=0.0044067720882594585
el:nrmse  mean=0.09953997269180925 std=0.05511962447033024
el:r2     mean=0.9676748273348524 std=0.013606557577609977
el:adj-r2 mean=1.038828837495442 std=0.017660368955799765


2020-06-08 19:29:12.938236
Learning rate: 0.0001, Weight decay: 0.0005, LR adjust start: 30000
Overall Results
ys:rmse   mean=13.360092163085938 std=10.3300199508667
ys:nrmse  mean=0.049418579327045395 std=0.03636788423190201
ys:r2     mean=0.6974118659218138 std=0.3907615332127227
ys:adj-r2 mean=1.3718711639177634 std=0.4839666710128321
--------------------
el:rmse   mean=0.016474945470690727 std=0.004371787887066603
el:nrmse  mean=0.10076565075296502 std=0.05567396543384402
el:r2     mean=0.9670400620925503 std=0.013531610543185635
el:adj-r2 mean=1.0395923210166096 std=0.01759704508301821


2020-06-08 21:00:51.020993
Learning rate: 0.0001, Weight decay: 0.0005, LR adjust start: 40000
Overall Results
ys:rmse   mean=13.22272777557373 std=12.479711532592773
ys:nrmse  mean=0.04890701245102867 std=0.043804969529663416
ys:r2     mean=0.6821864653892465 std=0.505166439619077
ys:adj-r2 mean=1.3913000473325474 std=0.6247753907346557
--------------------
el:rmse   mean=0.016824211925268173 std=0.004035509657114744
el:nrmse  mean=0.10155827599611045 std=0.053645186946611856
el:r2     mean=0.9645101604742171 std=0.01582244098113741
el:adj-r2 mean=1.042700472668178 std=0.020476562371486005


2020-06-08 22:02:55.094885
Learning rate: 0.0003, Weight decay: 0.0005, LR adjust start: 20000
Overall Results
ys:rmse   mean=11.720755577087402 std=5.2252068519592285
ys:nrmse  mean=0.045034442462408425 std=0.021474281308941492
ys:r2     mean=0.8683372388134496 std=0.1007020447516356
ys:adj-r2 mean=1.1588450638476604 std=0.1264434131335409
--------------------
el:rmse   mean=0.01691725105047226 std=0.003991651814430952
el:nrmse  mean=0.10122759534562058 std=0.052455454165849555
el:r2     mean=0.9632147553191004 std=0.01816506250676915
el:adj-r2 mean=1.0443102217502287 std=0.023330209161173104


2020-06-08 23:12:16.573726
Learning rate: 0.0003, Weight decay: 0.0005, LR adjust start: 30000
Overall Results
ys:rmse   mean=9.536184310913086 std=6.359182357788086
