2020-06-29 07:43:15.486117
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:nrmse  mean=0.11786008742616857 std=0.07141780870416017
ys:r2     mean=-1.5516431252482294 std=2.645361121504363
ys:adj-r2 mean=5.108291700696807 std=4.1497687110414665
--------------------
el:rmse   mean=0.016530949622392654 std=0.010203168727457523
el:nrmse  mean=0.11396493593681759 std=0.09973033328079754
el:r2     mean=0.7998154636710824 std=0.3197421095277562
el:adj-r2 mean=1.3077515887886295 std=0.48983228704877757


2020-06-30 02:39:56.062905
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=38.71792221069336 std=32.67363739013672
ys:nrmse  mean=0.1461927018603117 std=0.12021001941711827
ys:r2     mean=-2.530608295636706 std=4.685823609271334
ys:adj-r2 mean=6.631596604193483 std=7.405552462144428
--------------------
el:rmse   mean=0.020864266902208328 std=0.01042150054126978
el:nrmse  mean=0.15251919615547654 std=0.13654271170446358
el:r2     mean=0.7259073884651805 std=0.2981371497312494
el:adj-r2 mean=1.421675188935527 std=0.45604096720750464


2020-06-30 05:22:43.703246
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=51.17324447631836 std=28.468908309936523
ys:nrmse  mean=0.19235444859058912 std=0.10476488266760102
ys:r2     mean=-6.551433120436307 std=12.82037172518069
ys:adj-r2 mean=12.764262360000357 std=19.620835440952824
--------------------
el:rmse   mean=0.033782631158828735 std=0.012318538501858711
el:nrmse  mean=0.22601516596086335 std=0.20548347028561362
el:r2     mean=0.5920174324827046 std=0.479664113699873
el:adj-r2 mean=1.6348887566709749 std=0.7317424707990149


2020-06-30 08:04:53.650036
Learning rate: 1e-06, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=66.47474670410156 std=37.48505401611328
ys:nrmse  mean=0.245886742948246 std=0.1338415409480948
ys:r2     mean=-20.928227954505964 std=39.08865082366307
ys:adj-r2 mean=34.859491526941156 std=59.8448803381336
--------------------
el:rmse   mean=0.04589037969708443 std=0.024451954290270805
el:nrmse  mean=0.3508729966292867 std=0.3663625738082545
el:r2     mean=-0.3812547243656606 std=1.8182958561927491
el:adj-r2 mean=3.1628974489544563 std=2.799203877584778


2020-06-30 10:46:39.185140
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=12.529747009277344 std=10.49631404876709
ys:nrmse  mean=0.04697553249566681 std=0.0376385564216294
ys:r2     mean=0.6197867001647864 std=0.340844018180623
ys:adj-r2 mean=1.615996774909656 std=0.5716185411198318
--------------------
el:rmse   mean=0.01638566516339779 std=0.007879609242081642
el:nrmse  mean=0.13262716055770965 std=0.15988152489510635
el:r2     mean=0.6272529502006898 std=0.8794531250347856
el:adj-r2 mean=1.5744238167739393 std=1.3475625128332127


2020-06-30 13:29:50.366374
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=27.8538818359375 std=26.474267959594727
ys:nrmse  mean=0.10059284897943688 std=0.09116531255937563
ys:r2     mean=-2.3121246115402423 std=4.362119316836758
ys:adj-r2 mean=6.212495569056555 std=6.737794234160878
--------------------
el:rmse   mean=0.01796199195086956 std=0.00759559590369463
el:nrmse  mean=0.12269307445401534 std=0.09212398308777855
el:r2     mean=0.8026651546324344 std=0.3070032302621465
el:adj-r2 mean=1.3077319916164678 std=0.4697219444598504


2020-06-30 16:12:48.843902
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=41.148048400878906 std=23.732484817504883
ys:nrmse  mean=0.1467070610588299 std=0.07854618794446161
ys:r2     mean=-4.769655828598831 std=6.0342115040126405
ys:adj-r2 mean=10.342657745257968 std=10.003545848665414
--------------------
el:rmse   mean=0.01948147639632225 std=0.0071015749126672745
el:nrmse  mean=0.13578840213437546 std=0.0952887622565337
el:r2     mean=0.8144190509798659 std=0.23663852633441654
el:adj-r2 mean=1.2898238108223996 std=0.36175837033291114


2020-06-30 18:55:19.118185
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=44.95496368408203 std=16.945453643798828
ys:nrmse  mean=0.16667601394595574 std=0.06104758773491093
ys:r2     mean=-8.577309712584446 std=11.499306293262558
ys:adj-r2 mean=15.948001041315132 std=17.67718181057993
--------------------
el:rmse   mean=0.01923132687807083 std=0.00845642201602459
el:nrmse  mean=0.13527046919632785 std=0.11181702510173917
el:r2     mean=0.7424246809262864 std=0.4390944056883664
el:adj-r2 mean=1.4006914032841293 std=0.6723383510331268


2020-06-30 21:38:06.254462
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=50.368560791015625 std=23.768508911132812
ys:nrmse  mean=0.1919880782117565 std=0.09799907935207941
ys:r2     mean=-5.792202966663462 std=6.6385367648758935
ys:adj-r2 mean=11.774550874971313 std=10.277309389072288
--------------------
el:rmse   mean=0.03208129480481148 std=0.018040262162685394
el:nrmse  mean=0.1829032628074226 std=0.09664914500518113
el:r2     mean=0.7223064972301694 std=0.1661396859202259
el:adj-r2 mean=1.4414819758483077 std=0.2708518046852041


2020-07-01 00:21:07.612939
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=20.473682403564453 std=8.886384963989258
ys:nrmse  mean=0.07485386976911058 std=0.029728220909802473
ys:r2     mean=-0.2850206235930906 std=1.0903259130643779
ys:adj-r2 mean=3.057789293112613 std=1.754163652845433
--------------------
el:rmse   mean=0.01921948790550232 std=0.00780875887721777
el:nrmse  mean=0.1361620543320316 std=0.10913404504251144
el:r2     mean=0.7427870998105899 std=0.39766980686767905
el:adj-r2 mean=1.3993951518464605 std=0.6082953345067672


2020-07-01 03:02:59.157406
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=28.676212310791016 std=24.503511428833008
ys:nrmse  mean=0.10574593849257323 std=0.08646199383609636
ys:r2     mean=-1.0774520552739406 std=2.1089203118066835
ys:adj-r2 mean=4.369461445086125 std=3.4676593208137194
--------------------
el:rmse   mean=0.018497677519917488 std=0.0072244261391460896
el:nrmse  mean=0.1315060529777859 std=0.10173342721046909
el:r2     mean=0.8021250452701361 std=0.2871812261068074
el:adj-r2 mean=1.3108846772257132 std=0.44025592807189473


2020-07-01 05:44:12.512965
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=34.71558380126953 std=21.290193557739258
ys:nrmse  mean=0.12851841361989602 std=0.07870129409194163
ys:r2     mean=-3.8223139650481945 std=6.552653090203441
ys:adj-r2 mean=8.766857875775788 std=10.447250589695907
--------------------
el:rmse   mean=0.019495386630296707 std=0.005939805414527655
el:nrmse  mean=0.13883364827428016 std=0.11001095131983621
el:r2     mean=0.8363932632601324 std=0.1992485328135604
el:adj-r2 mean=1.2584846756876955 std=0.30628719953159445


2020-07-01 08:27:24.344182
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=45.07383346557617 std=18.335657119750977
ys:nrmse  mean=0.17493686302717246 std=0.10014784481371646
ys:r2     mean=-7.183209183973483 std=8.925144261311537
ys:adj-r2 mean=13.981199046606292 std=14.363320711287393
--------------------
el:rmse   mean=0.02203161083161831 std=0.009157665073871613
el:nrmse  mean=0.18370488478754404 std=0.1851448677787533
el:r2     mean=0.5896999506543246 std=0.8613552074309317
el:adj-r2 mean=1.6350355701253796 std=1.3195303784468577


2020-07-01 11:09:39.625594
Learning rate: 1e-05, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=65.72189331054688 std=32.93031311035156
ys:nrmse  mean=0.2513809665654179 std=0.14079907313199833
ys:r2     mean=-12.923565351849433 std=15.235951634711212
ys:adj-r2 mean=23.386038687295077 std=24.862348886089066
--------------------
el:rmse   mean=0.027870014309883118 std=0.007463694084435701
el:nrmse  mean=0.1835381529753635 std=0.11796926135217824
el:r2     mean=0.7038407563111948 std=0.2502078413343138
el:adj-r2 mean=1.4657717315158092 std=0.38335671172240443


2020-07-01 13:51:10.162616
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=16.969375610351562 std=8.898664474487305
ys:nrmse  mean=0.06683343016758969 std=0.04611877942335279
ys:r2     mean=0.13649538571372732 std=0.8692757547933843
ys:adj-r2 mean=2.3488090142569042 std=1.3229658690173387
--------------------
el:rmse   mean=0.016090944409370422 std=0.004875688347965479
el:nrmse  mean=0.12308369438316764 std=0.112132452589347
el:r2     mean=0.8119142800020025 std=0.34625890772449613
el:adj-r2 mean=1.2921271731146078 std=0.529944948784979


2020-07-01 16:33:26.465061
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=21.81308364868164 std=9.24687385559082
ys:nrmse  mean=0.0810666246806089 std=0.03699095170050295
ys:r2     mean=-0.5343696692166394 std=1.7358492926465214
ys:adj-r2 mean=3.4457314789764437 std=2.702347682577846
--------------------
el:rmse   mean=0.022804932668805122 std=0.01250192429870367
el:nrmse  mean=0.1560809139382236 std=0.11339952494478091
el:r2     mean=0.599858686675492 std=0.6539460619416197
el:adj-r2 mean=1.6191731010866632 std=1.0007439057703873


2020-07-01 19:16:18.577951
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=24.965667724609375 std=14.216628074645996
ys:nrmse  mean=0.09247703982984601 std=0.04943581724647964
ys:r2     mean=-1.1861801806341634 std=4.031161852841986
ys:adj-r2 mean=4.442634547325396 std=6.174600813477241
--------------------
el:rmse   mean=0.023258980363607407 std=0.008743738755583763
el:nrmse  mean=0.1416679490237536 std=0.0664343380810183
el:r2     mean=0.7465906872638337 std=0.28245086831662947
el:adj-r2 mean=1.3962812405683345 std=0.4322996265397958


2020-07-01 21:58:16.741377
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=33.302982330322266 std=17.177101135253906
ys:nrmse  mean=0.12561323372209474 std=0.061029615053737205
ys:r2     mean=-3.6732611989978396 std=8.907298889459803
ys:adj-r2 mean=8.248669789100967 std=13.636929357094365
--------------------
el:rmse   mean=0.023124562576413155 std=0.008184095844626427
el:nrmse  mean=0.1561464232552912 std=0.10146372887070818
el:r2     mean=0.6997411472917509 std=0.37812740840781023
el:adj-r2 mean=1.4657532664408786 std=0.5776841318412137


2020-07-02 00:39:26.252479
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=40.876243591308594 std=16.47502326965332
ys:nrmse  mean=0.1539357121775519 std=0.0661596222699043
ys:r2     mean=-6.546890836009655 std=10.34170180839412
ys:adj-r2 mean=12.702189270934358 std=15.810386274251
--------------------
el:rmse   mean=0.026753297075629234 std=0.005714141298085451
el:nrmse  mean=0.20483465909258802 std=0.18456692039871694
el:r2     mean=0.5113269703744996 std=0.8596924251257287
el:adj-r2 mean=1.7585741726171669 std=1.315333464803249


2020-07-02 03:21:14.464304
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=17.201675415039062 std=13.851460456848145
ys:nrmse  mean=0.06278997425386472 std=0.049256303552636674
ys:r2     mean=0.08740782459974089 std=0.8307918797917722
ys:adj-r2 mean=2.461646110139531 std=1.3387633626272526
--------------------
el:rmse   mean=0.01858717016875744 std=0.004507121164351702
el:nrmse  mean=0.13169374116985993 std=0.0987300269850356
el:r2     mean=0.7926830894689594 std=0.320936441398518
el:adj-r2 mean=1.3219696310553997 std=0.49083662694538543


2020-07-02 06:03:43.970033
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=18.672883987426758 std=6.559557914733887
ys:nrmse  mean=0.07124161302997287 std=0.029367995431361732
ys:r2     mean=0.08046256370271296 std=0.8851126711351173
ys:adj-r2 mean=2.430393855023767 std=1.3459496961755524
--------------------
el:rmse   mean=0.01833176240324974 std=0.008755226619541645
el:nrmse  mean=0.12018108730629154 std=0.08710710538173384
el:r2     mean=0.7521426922956742 std=0.38878145664441216
el:adj-r2 mean=1.3846678635360892 std=0.5949640189187736


2020-07-02 08:45:24.387163
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=28.00144386291504 std=16.97454261779785
ys:nrmse  mean=0.10469170542654034 std=0.0665691978469369
ys:r2     mean=-4.455289150705413 std=9.075168954690952
ys:adj-r2 mean=9.81294962036787 std=14.880345943371358
--------------------
el:rmse   mean=0.0196353979408741 std=0.006272689905017614
el:nrmse  mean=0.12979052789937223 std=0.08084473533943352
el:r2     mean=0.7824632687927229 std=0.2526140582872902
el:adj-r2 mean=1.3361934454016458 std=0.38573441241466183


2020-07-02 11:21:12.483081
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=27.930511474609375 std=15.458028793334961
ys:nrmse  mean=0.10463465880027537 std=0.055618772644475616
ys:r2     mean=-1.229254253918595 std=1.9661649500977376
ys:adj-r2 mean=4.5221639721320255 std=3.01395313056318
--------------------
el:rmse   mean=0.02138685993850231 std=0.006234507542103529
el:nrmse  mean=0.13829582227981424 std=0.08290927328503599
el:r2     mean=0.7910598494266996 std=0.22288986888700138
el:adj-r2 mean=1.326512529962278 std=0.34102705689737506


2020-07-02 14:03:10.525164
Learning rate: 0.0001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=43.431026458740234 std=19.52796173095703
ys:nrmse  mean=0.16256183329021048 std=0.07102824286209827
ys:r2     mean=-6.59226777786296 std=10.241977262845177
ys:adj-r2 mean=12.713691997812195 std=15.661202481766455
--------------------
el:rmse   mean=0.01693693734705448 std=0.007027527783066034
el:nrmse  mean=0.11626809524429094 std=0.09271214397727381
el:r2     mean=0.7941239878292043 std=0.3169157529905081
el:adj-r2 mean=1.3208527595586654 std=0.4854791872594142


2020-07-02 16:46:54.122424
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=12.402125358581543 std=6.912670135498047
ys:nrmse  mean=0.04912329977820548 std=0.03527194366813841
ys:r2     mean=0.483175941405298 std=0.5847059405074212
ys:adj-r2 mean=1.8332470067341369 std=0.946895605114618
--------------------
el:rmse   mean=0.019122706726193428 std=0.00806807167828083
el:nrmse  mean=0.12773350377585754 std=0.0866331009543806
el:r2     mean=0.770343550685285 std=0.32170314621416823
el:adj-r2 mean=1.3555509308611877 std=0.4916744144426272


2020-07-02 19:28:00.164142
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=12.731551170349121 std=7.233372211456299
ys:nrmse  mean=0.05216237578266401 std=0.04028970133424979
ys:r2     mean=0.5595915560729956 std=0.5328034043709592
ys:adj-r2 mean=1.6805505730129326 std=0.814117569648755
--------------------
el:rmse   mean=0.02490270510315895 std=0.00999511405825615
el:nrmse  mean=0.15943555101154017 std=0.09255224986824563
el:r2     mean=0.6252653204430751 std=0.43058324257462893
el:adj-r2 mean=1.582014071334871 std=0.659028606590622


2020-07-02 22:10:34.569321
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=17.00042152404785 std=14.562943458557129
ys:nrmse  mean=0.06675227484398417 std=0.057414857137690505
ys:r2     mean=0.33525167191370586 std=0.77908220585186
ys:adj-r2 mean=2.055216013209339 std=1.238867406803165
--------------------
el:rmse   mean=0.020357448607683182 std=0.009237726218998432
el:nrmse  mean=0.1299472556110574 std=0.08599348407374872
el:r2     mean=0.7279784368074222 std=0.3181251166112886
el:adj-r2 mean=1.4228272662156107 std=0.4874204097881513


2020-07-03 00:51:50.357230
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=10.453423500061035 std=7.814424514770508
ys:nrmse  mean=0.043838350191211344 std=0.04173902392702519
ys:r2     mean=0.6762824667237743 std=0.4345817305257701
ys:adj-r2 mean=1.498247821893221 std=0.6651667260226388
--------------------
el:rmse   mean=0.02644004300236702 std=0.011081655509769917
el:nrmse  mean=0.16565165439413318 std=0.1036261822288434
el:r2     mean=0.5428258201550207 std=0.5160678847685969
el:adj-r2 mean=1.7069007262734346 std=0.7882147037928631


2020-07-03 03:32:54.715095
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=12.308511734008789 std=7.202733516693115
ys:nrmse  mean=0.049568686452690566 std=0.039086995549012515
ys:r2     mean=0.5798876098082142 std=0.46463807558524906
ys:adj-r2 mean=1.664702506182141 std=0.7198840300482252
--------------------
el:rmse   mean=0.025232389569282532 std=0.006923464592546225
el:nrmse  mean=0.17933596949015673 std=0.14991317973232818
el:r2     mean=0.5264954999810383 std=0.8646870353708952
el:adj-r2 mean=1.7321643603956083 std=1.3234865060931518


2020-07-03 06:15:59.017913
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=11.007917404174805 std=5.313034534454346
ys:nrmse  mean=0.042307275513788656 std=0.02233873811130839
ys:r2     mean=0.5079326745566263 std=0.9076619604012582
ys:adj-r2 mean=1.759415015458392 std=1.3897374339935828
--------------------
el:rmse   mean=0.017264503985643387 std=0.007134087383747101
el:nrmse  mean=0.12154547589200286 std=0.09534636430093948
el:r2     mean=0.8276197064132977 std=0.21369008545262017
el:adj-r2 mean=1.2664406873893554 std=0.32648565313043626


2020-07-03 08:56:41.313839
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.4
Overall Results
ys:rmse   mean=12.048212051391602 std=7.424219608306885
ys:nrmse  mean=0.049442616241711444 std=0.039457001910047626
ys:r2     mean=0.5111704471228083 std=0.6069789908663673
ys:adj-r2 mean=1.7529519452186597 std=0.928792000474296
--------------------
el:rmse   mean=0.021627694368362427 std=0.010865203104913235
el:nrmse  mean=0.14670721415720656 std=0.09806049718244042
el:r2     mean=0.7078708064398267 std=0.34314987209172915
el:adj-r2 mean=1.4530140671734173 std=0.5257689738032605


2020-07-03 11:30:29.589585
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.6
Overall Results
ys:rmse   mean=12.531024932861328 std=6.186759948730469
ys:nrmse  mean=0.05033770752357782 std=0.032086177797048226
ys:r2     mean=0.7099779643216617 std=0.24893255123213878
ys:adj-r2 mean=1.4555809510652888 std=0.3783028206895711
--------------------
el:rmse   mean=0.027755308896303177 std=0.013848496600985527
el:nrmse  mean=0.16115180048179312 std=0.07184651013676834
el:r2     mean=0.5444693127946458 std=0.6673695744521041
el:adj-r2 mean=1.7072961711149042 std=1.0210632048062904


2020-07-03 14:05:10.118659
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.8
Overall Results
ys:rmse   mean=10.153894424438477 std=5.1999311447143555
ys:nrmse  mean=0.04117742629556119 std=0.02989141934797664
ys:r2     mean=0.6762230244716111 std=0.4021159468751738
ys:adj-r2 mean=1.5042928769008106 std=0.614099253791044
--------------------
el:rmse   mean=0.02224338799715042 std=0.008040834218263626
el:nrmse  mean=0.14897431897882316 std=0.09770148390923487
el:r2     mean=0.748814995278444 std=0.25048222154684385
el:adj-r2 mean=1.3917398785035757 std=0.38377579043598337


2020-07-03 16:46:21.674652
Learning rate: 0.0005, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.9
Overall Results
ys:rmse   mean=20.455272674560547 std=12.936477661132812
ys:nrmse  mean=0.08437205749323229 std=0.0719909572292975
ys:r2     mean=-0.06784163077445339 std=1.0778140587068172
ys:adj-r2 mean=2.7000636605461588 std=1.7233824900754906
--------------------
el:rmse   mean=0.029510337859392166 std=0.011090882122516632
el:nrmse  mean=0.201738776559443 std=0.1652078844786429
el:r2     mean=0.334501229090754 std=1.0653707348683368
el:adj-r2 mean=2.0245232290272597 std=1.6313354895894467


2020-07-03 19:29:05.757798
Learning rate: 0.001, Weight decay: 1e-06, LR adjust start: 40000, Dropout: 0.2
Overall Results
ys:rmse   mean=12.230510711669922 std=7.812534332275391
ys:nrmse  mean=0.049381810724594154 std=0.03685839602490629
ys:r2     mean=0.7183809578174565 std=0.29377318944499703
ys:adj-r2 mean=1.440403066376662 std=0.45024560151887755
--------------------
el:rmse   mean=0.018591443076729774 std=0.008790606632828712
el:nrmse  mean=0.1224690874707115 std=0.08935149272835967
el:r2     mean=0.7325048638422869 std=0.36686382495984504
el:adj-r2 mean=1.4141868796095383 std=0.5607595069389981


2020-07-03 22:49:59.685506
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.01
Overall Results
ys:rmse   mean=23.501672744750977 std=10.494592666625977
ys:nrmse  mean=0.08861048510683772 std=0.04122557044287455
ys:r2     mean=0.5100659477658297 std=0.4960581100894485
ys:adj-r2 mean=1.3966132803800428 std=0.4015708510247917
--------------------
el:rmse   mean=0.01569773070514202 std=0.001993198413401842
el:nrmse  mean=0.09089129152034524 std=0.0378182050350206
el:r2     mean=0.9770030699492533 std=0.004140070549017029
el:adj-r2 mean=1.0186165624220331 std=0.0033514856825375256


2020-07-03 23:38:11.206549
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.05
Overall Results
ys:rmse   mean=23.175689697265625 std=8.421186447143555
ys:nrmse  mean=0.08738324705356593 std=0.034594843322445216
ys:r2     mean=0.5646731765845437 std=0.4028191005858613
ys:adj-r2 mean=1.3524074284791787 std=0.326091652855221
--------------------
el:rmse   mean=0.01828724518418312 std=0.004919597879052162
el:nrmse  mean=0.11006022670264463 std=0.05940687336108132
el:r2     mean=0.9675516108892473 std=0.014452161747974222
el:adj-r2 mean=1.0262677435658476 std=0.011699369034074368


2020-07-04 00:24:39.190171
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.1
Overall Results
ys:rmse   mean=25.60740089416504 std=12.876773834228516
ys:nrmse  mean=0.09484518565633844 std=0.04455784822339299
ys:r2     mean=0.28330154306985816 std=0.83940525555443
ys:adj-r2 mean=1.5801844651339243 std=0.6795185402107289
--------------------
el:rmse   mean=0.01849861815571785 std=0.0036815202329307795
el:nrmse  mean=0.10905687504912308 std=0.05177391119052077
el:r2     mean=0.9676373862714914 std=0.010225167235084322
el:adj-r2 mean=1.02619830635165 std=0.008277516333163532


2020-07-04 01:11:18.424700
Learning rate: 5e-06, Weight decay: 1e-06, LR adjust start: 20000, Dropout: 0.15
Overall Results
ys:rmse   mean=23.532257080078125 std=3.410325050354004
ys:nrmse  mean=0.0885447688915747 std=0.01997240264193796
ys:r2     mean=0.6236159466509097 std=0.22420083100138338
ys:adj-r2 mean=1.3046918527111682 std=0.18149591081064376
--------------------
el:rmse   mean=0.02258409559726715 std=0.0015165347140282393
el:nrmse  mean=0.1300026903944934 std=0.05204731517618294
el:r2     mean=0.952015915850585 std=0.007366189388922209
