2020-06-06 12:51:17.797998
Learning rate: 0.0001, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
el:nrmse  mean=0.07883335587513428 std=0.04088547166121578
el:r2     mean=0.9703485140264071 std=0.02715566788706212
el:adj-r2 mean=1.0355335499327882 std=0.03369229385743209


2020-06-07 05:54:18.002606
Learning rate: 0.003, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=13.3219633102417 std=6.6950507164001465
ys:nrmse  mean=0.052451353905320706 std=0.030767519075462258
ys:r2     mean=0.8694441993139284 std=0.05324298198495072
ys:adj-r2 mean=1.1522081680977654 std=0.055196796674449614
--------------------
el:rmse   mean=0.012096593156456947 std=0.002370703499764204
el:nrmse  mean=0.07266462103372366 std=0.03640544253586645
el:r2     mean=0.9808686372626478 std=0.009891671186846775
el:adj-r2 mean=1.0229712390521382 std=0.012616471649832147


2020-06-07 07:37:00.318225
Learning rate: 0.003, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=15.44940185546875 std=6.316131114959717
ys:nrmse  mean=0.0586110781559098 std=0.025258002371313124
ys:r2     mean=0.7278152788463996 std=0.21499190313210198
ys:adj-r2 mean=1.3307498926083379 std=0.269535174675683
--------------------
el:rmse   mean=0.014597957953810692 std=0.0028722286224365234
el:nrmse  mean=0.08247488293064927 std=0.0299168912157209
el:r2     mean=0.963987402308341 std=0.03708279632823061
el:adj-r2 mean=1.0438427056126038 std=0.0462112825861667


2020-06-07 08:48:52.432200
Learning rate: 0.005, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=11.564519882202148 std=6.656773090362549
ys:nrmse  mean=0.04514527713771031 std=0.02914219988291696
ys:r2     mean=0.8703246512856915 std=0.08494132954817926
ys:adj-r2 mean=1.1541258773334175 std=0.10069954272545256
--------------------
el:rmse   mean=0.014402342960238457 std=0.0045465026050806046
el:nrmse  mean=0.08469713652832292 std=0.04776277719114132
el:r2     mean=0.9682629232040962 std=0.02556102244421242
el:adj-r2 mean=1.0386991823734628 std=0.03200488779784012


2020-06-07 10:04:47.679818
Learning rate: 0.005, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=10.496064186096191 std=3.2584316730499268
ys:nrmse  mean=0.04039509953985167 std=0.015782586454048595
ys:r2     mean=0.898406520636779 std=0.04199531590001618
ys:adj-r2 mean=1.1200079854409277 std=0.049689141456706484
--------------------
el:rmse   mean=0.01611313968896866 std=0.004187248181551695
el:nrmse  mean=0.09357808192278234 std=0.043452107084125086
el:r2     mean=0.9593793371096769 std=0.03551698555670235
el:adj-r2 mean=1.0488349670530837 std=0.044413290713011234


2020-06-07 11:29:42.216776
Learning rate: 0.005, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=12.201716423034668 std=4.310120105743408
ys:nrmse  mean=0.04548809829110836 std=0.01618264261520085
ys:r2     mean=0.6968107498964171 std=0.3851022615926693
ys:adj-r2 mean=1.372228703546267 std=0.4772381626425746
--------------------
el:rmse   mean=0.016803527250885963 std=0.0058034188114106655
el:nrmse  mean=0.10106060868635611 std=0.05950082965217274
el:r2     mean=0.9539019063376966 std=0.04217555599001326
el:adj-r2 mean=1.0559110892592842 std=0.05267794216959899


2020-06-07 12:38:33.545690
Learning rate: 0.01, Weight decay: 1e-05, LR adjust start: 20000
Overall Results
ys:rmse   mean=21.481830596923828 std=7.775164604187012
ys:nrmse  mean=0.0829352464853106 std=0.03859081438844046
ys:r2     mean=0.41059368111325806 std=0.612079010217092
ys:adj-r2 mean=1.709508595800412 std=0.7618053307773393
--------------------
el:rmse   mean=0.029053157195448875 std=0.0140905249863863
el:nrmse  mean=0.18968168635173682 std=0.142798289939486
el:r2     mean=0.8765277699995047 std=0.08394192638514272
el:adj-r2 mean=1.1480172081202213 std=0.10214393541065156


2020-06-07 13:55:02.104381
Learning rate: 0.01, Weight decay: 1e-05, LR adjust start: 30000
Overall Results
ys:rmse   mean=19.38875961303711 std=3.971403121948242
ys:nrmse  mean=0.07183938843554835 std=0.014796353408628693
ys:r2     mean=0.3112328671263024 std=0.7499929873998855
ys:adj-r2 mean=1.830096566992701 std=0.9268462332782806
--------------------
el:rmse   mean=0.24775250256061554 std=0.36581501364707947
el:nrmse  mean=1.9178307306644586 std=3.1176728600362127
el:r2     mean=-16.512381590674767 std=33.95249719756504
el:adj-r2 mean=20.497802921276683 std=37.70557515234239


2020-06-07 15:17:40.326496
Learning rate: 0.01, Weight decay: 1e-05, LR adjust start: 40000
Overall Results
ys:rmse   mean=12.199666976928711 std=4.51186990737915
ys:nrmse  mean=0.04724867972354389 std=0.022030687854005776
ys:r2     mean=0.8516309215121904 std=0.08554995770425414
ys:adj-r2 mean=1.1762267991910724 std=0.10621238989605182
--------------------
el:rmse   mean=0.3733377754688263 std=0.3729584813117981
el:nrmse  mean=2.1286376927591335 std=2.4111204410974607
el:r2     mean=-56.03606308157574 std=88.37361266292895
el:adj-r2 mean=70.07073516361757 std=109.24450629565294


2020-06-07 16:22:02.519385
Learning rate: 0.0001, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=14.433199882507324 std=10.374011993408203
ys:nrmse  mean=0.05319379919278387 std=0.03611096434744648
ys:r2     mean=0.6695468476661597 std=0.41301565440901356
ys:adj-r2 mean=1.4037612176188758 std=0.5124404619042103
--------------------
el:rmse   mean=0.014365588314831257 std=0.003812855575233698
el:nrmse  mean=0.08851014349787092 std=0.04877897988221692
el:r2     mean=0.9751091726528633 std=0.009258795503498696
el:adj-r2 mean=1.0299332031215933 std=0.012092703923160735


2020-06-07 17:41:25.074728
Learning rate: 0.0001, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=16.51980972290039 std=12.896828651428223
ys:nrmse  mean=0.06063228033357624 std=0.0449528116643187
ys:r2     mean=0.5201412314871694 std=0.6124976829730557
ys:adj-r2 mean=1.588471588450405 std=0.75915695781694
--------------------
el:rmse   mean=0.015117083676159382 std=0.0036082968581467867
el:nrmse  mean=0.0930121828034349 std=0.05059048924686311
el:r2     mean=0.9716742390243732 std=0.010930004707251214
el:adj-r2 mean=1.0340259216146857 std=0.0140802323772454


2020-06-07 19:14:45.895624
Learning rate: 0.0001, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=14.54737663269043 std=12.348323822021484
ys:nrmse  mean=0.05321134005639659 std=0.04301933531595072
ys:r2     mean=0.5883373351561672 std=0.5384836586104168
ys:adj-r2 mean=1.5060922983597134 std=0.6667827562927022
--------------------
el:rmse   mean=0.014941337518393993 std=0.0036373829934746027
el:nrmse  mean=0.09178025049945443 std=0.05000446902595012
el:r2     mean=0.9722591352257194 std=0.011125550447203147
el:adj-r2 mean=1.0333643224653726 std=0.014376456902982076


2020-06-07 20:20:52.097682
Learning rate: 0.0003, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=14.169782638549805 std=7.028479099273682
ys:nrmse  mean=0.053700895473777446 std=0.026492307470007352
ys:r2     mean=0.7711997892353228 std=0.22065893830727137
ys:adj-r2 mean=1.278327121279577 std=0.2753587525246219
--------------------
el:rmse   mean=0.014332883059978485 std=0.004177269525825977
el:nrmse  mean=0.08938049309650814 std=0.05150603294063014
el:r2     mean=0.9754999817930182 std=0.009411611706444098
el:adj-r2 mean=1.0294023404578354 std=0.012101612480515713


2020-06-07 21:33:05.477634
Learning rate: 0.0003, Weight decay: 0.0001, LR adjust start: 30000
Overall Results
ys:rmse   mean=10.13676929473877 std=3.974409341812134
ys:nrmse  mean=0.03932946757242487 std=0.018454702658486193
ys:r2     mean=0.9097423051864475 std=0.04160841687248157
ys:adj-r2 mean=1.108158403359931 std=0.05312202927107222
--------------------
el:rmse   mean=0.014560739509761333 std=0.0035857618786394596
el:nrmse  mean=0.08988019499229291 std=0.04927560519364163
el:r2     mean=0.9741588794904926 std=0.00920606195996847
el:adj-r2 mean=1.0310074727906127 std=0.011896924635160218


2020-06-07 22:54:42.035270
Learning rate: 0.0003, Weight decay: 0.0001, LR adjust start: 40000
Overall Results
ys:rmse   mean=15.954713821411133 std=11.07792854309082
ys:nrmse  mean=0.06396642321580112 std=0.049799961755374086
ys:r2     mean=0.8402648902955496 std=0.06452699071317948
ys:adj-r2 mean=1.1904880891048255 std=0.07997409850423272
--------------------
el:rmse   mean=0.015226887539029121 std=0.004102730192244053
el:nrmse  mean=0.09491265109564251 std=0.05361096234603682
el:r2     mean=0.9725022172240274 std=0.008977914510789062
el:adj-r2 mean=1.0328892380471577 std=0.011413743563424646


2020-06-08 00:03:27.594049
Learning rate: 0.0005, Weight decay: 0.0001, LR adjust start: 20000
Overall Results
ys:rmse   mean=8.985010147094727 std=3.8036317825317383
ys:nrmse  mean=0.03469614887177015 std=0.017745270265423843
ys:r2     mean=0.9181211462502563 std=0.04281552141680746
ys:adj-r2 mean=1.0966715237996416 std=0.05194398063812356
--------------------
el:rmse   mean=0.014744517393410206 std=0.00478775380179286
el:nrmse  mean=0.09351333434454569 std=0.057886519991550985
el:r2     mean=0.9741129604041554 std=0.011122129423179966
el:adj-r2 mean=1.0308952197600694 std=0.013776615176104203


